platform,model,batch_size,input_tokens,output_tokens,n_gpu,dtype,il_ttft_ms,il_decode_ms,il_throughput_tps,PrefillÕÃÕ¬¡ø£®tokens/s£©,DecodeÕÃÕ¬¡ø£®tokens/s£©,vl_ttft_ms,vl_decode_ms,vl_throughput_tps,date,tester,remarks
cambricon,9g8b,1,32,256,1,bf16,108.13,82.55,NA,295.95,12.11,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,32,1024,1,bf16,108.77,81.92,NA,294.21,12.21,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,32,4096,1,bf16,108.8,82.48,NA,294.11,12.12,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,256,256,1,bf16,484.2,82.2,NA,528.71,12.17,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,256,1024,1,bf16,484.2,82.03,NA,528.71,12.19,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,256,4096,1,bf16,485.41,82.53,NA,527.39,12.12,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,4096,256,1,bf16,NA,NA,NA,NA,NA,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,4096,1024,1,bf16,NA,NA,NA,NA,NA,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,1,4096,4096,1,bf16,NA,NA,NA,NA,NA,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,32,256,1,bf16,169.09,77.78,NA,757,51.42,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,32,1024,1,bf16,173.03,81.4,NA,739.74,49.14,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,32,4096,1,bf16,170.66,79.82,NA,750.05,50.11,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,256,256,1,bf16,1545.53,79.04,NA,661.85,50.83,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,256,1024,1,bf16,1554.14,80.66,NA,658.88,49.59,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,256,4096,1,bf16,1558.12,80.33,NA,657.2,49.79,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,4096,256,1,bf16,NA,NA,NA,NA,NA,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,4096,1024,1,bf16,NA,NA,NA,NA,NA,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,4,4096,4096,1,bf16,NA,NA,NA,NA,NA,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,16,32,256,1,bf16,415.43,71.8,NA,1232.47,222.83,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,16,32,1024,1,bf16,413.39,71.26,NA,1238.55,224.53,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,16,32,4096,1,bf16,413.16,72.22,NA,1239.23,221.54,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,16,256,256,1,bf16,5768.25,72.22,NA,710.09,221.54,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,16,256,1024,1,bf16,5757.43,71.2,NA,711.43,224.73,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,16,256,4096,1,bf16,5758.43,72.74,NA,711.3,219.95,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,64,32,256,1,bf16,1464.54,116.09,NA,1398.39,551.32,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,64,32,1024,1,bf16,1473.69,119.93,NA,1394.35,520.71,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,64,32,4096,1,bf16,1467.53,123.2,NA,1395.54,519.48,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,64,256,256,1,bf16,22822.43,115.23,NA,717.89,555.39,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,64,256,1024,1,bf16,22796.38,117.62,NA,718.71,544.14,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
cambricon,9g8b,64,256,4096,1,bf16,NA,NA,NA,NA,NA,NA,NA,NA,4/28/2026,Œ‚Œ¨,mlu590
