platform,model,batch_size,input_tokens,output_tokens,n_gpu,dtype,il_ttft_ms,il_decode_ms,il_throughput_tps,Prefill吞吐量（tokens/s）,Decode吞吐量（tokens/s）,vl_ttft_ms,vl_decode_ms,vl_throughput_tps,date,tester,remarks
hygon,9g8b,1,32,256,1,bf16,101.67,29.72,NA,314.75,33.65,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,32,1024,1,bf16,101.98,29.78,NA,313.79,33.58,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,32,4096,1,bf16,103.96,29.86,NA,307.81,33.49,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,256,256,1,bf16,660.66,29.82,NA,387.49,33.54,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,256,1024,1,bf16,663.39,29.82,NA,385.9,33.54,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,256,4096,1,bf16,665.38,29.86,NA,384.74,33.48,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,4096,256,1,bf16,347.55,29.98,NA,11785.36,33.35,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,4096,1024,1,bf16,347.09,30.12,NA,11800.99,33.2,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,1,4096,4096,1,bf16,348.92,30.01,NA,11739.04,33.33,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,32,256,1,bf16,349.47,47.16,NA,366.26,84.81,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,32,1024,1,bf16,350.88,47.31,NA,364.79,84.54,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,32,4096,1,bf16,348.6,46.92,NA,367.18,85.26,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,256,256,1,bf16,100.65,47.29,NA,10174.14,84.58,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,256,1024,1,bf16,101.18,47.33,NA,10120.08,84.52,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,256,4096,1,bf16,99.87,46.89,NA,10253.03,85.31,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,4096,256,1,bf16,1245.23,47.15,NA,13157.42,84.84,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,4096,1024,1,bf16,1245.77,47.12,NA,13151.71,84.88,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,4,4096,4096,1,bf16,1245.88,47.4,NA,13150.54,84.39,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,16,32,256,1,bf16,90.4,81.29,NA,5663.63,196.82,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,16,32,1024,1,bf16,90.49,81.29,NA,5658.15,196.83,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,16,32,4096,1,bf16,91.15,82,NA,5617.32,195.12,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,16,256,256,1,bf16,341.8,81.56,NA,11983.61,196.17,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,16,256,1024,1,bf16,341.36,81.36,NA,11999.08,196.65,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,16,256,4096,1,bf16,342.37,82.13,NA,11963.75,194.82,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,64,32,256,1,bf16,246.07,268.5,NA,8323,238.36,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,64,32,1024,1,bf16,246.73,269.37,NA,8300.6,237.59,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,64,32,4096,1,bf16,244.92,271.63,NA,8361.77,235.62,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,64,256,256,1,bf16,1231.24,268.89,NA,13306.87,238.02,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,64,256,1024,1,bf16,1229.66,268.42,NA,13324,238.43,NA,NA,NA,4/29/2026,张越,bw1000
hygon,9g8b,64,256,4096,1,bf16,1231.72,273.07,NA,13301.73,234.37,NA,NA,NA,4/29/2026,张越,bw1000
