platform,model,batch_size,input_tokens,output_tokens,n_gpu,dtype,il_ttft_ms,il_decode_ms,il_throughput_tps,PrefillÕÃÕ¬¡ø£®tokens/s£©,DecodeÕÃÕ¬¡ø£®tokens/s£©,vl_ttft_ms,vl_decode_ms,vl_throughput_tps,date,tester,remarks
nvidia,9g8b,1,32,256,1,bf16,55.15,25.04,NA,580.21,39.94,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,32,1024,1,bf16,57.69,25.32,NA,554.7,39.49,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,32,4096,1,bf16,58.24,25.73,NA,549.48,38.87,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,256,256,1,bf16,66.83,25.3,NA,3830.51,39.53,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,256,1024,1,bf16,62,25.49,NA,4128.96,39.23,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,256,4096,1,bf16,62.45,25.79,NA,4099.05,38.77,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,4096,256,1,bf16,561.51,25.94,NA,7294.56,38.55,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,4096,1024,1,bf16,560.5,25.96,NA,7307.73,38.52,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,1,4096,4096,1,bf16,557.84,26.07,NA,7342.63,38.36,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,32,256,1,bf16,25.15,12.96,NA,5089.65,308.68,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,32,1024,1,bf16,24.59,13.18,NA,5204.51,303.55,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,32,4096,1,bf16,24.14,13.55,NA,5302.57,295.29,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,256,256,1,bf16,87.16,12.99,NA,11748.47,307.97,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,256,1024,1,bf16,86.84,13.34,NA,11792.27,299.92,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,256,4096,1,bf16,86.01,13.63,NA,11906.14,293.45,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,4096,256,1,bf16,1277.86,13.69,NA,12821.47,292.18,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,4096,1024,1,bf16,1274.01,13.79,NA,12860.13,290.04,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,4,4096,4096,1,bf16,1270.99,13.89,NA,12890.71,288.01,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,16,32,256,1,bf16,99.99,27.64,NA,5120.35,578.91,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,16,32,1024,1,bf16,99.68,28.88,NA,5136.48,554.1,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,16,32,4096,1,bf16,99.82,33.67,NA,5129.35,475.21,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,16,256,256,1,bf16,540.08,28.31,NA,7584.03,565.23,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,16,256,1024,1,bf16,541.64,29.58,NA,7562.21,540.92,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,16,256,4096,1,bf16,543.76,34.39,NA,7532.78,465.19,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,64,32,256,1,bf16,252.44,17.3,NA,8112.86,3698.37,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,64,32,1024,1,bf16,251.56,17.87,NA,8141.33,3581.98,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,64,32,4096,1,bf16,251.25,19.73,NA,8151.36,3243.44,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,64,256,256,1,bf16,1279.57,17.6,NA,12804.33,3635.4,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,64,256,1024,1,bf16,1276.17,18.16,NA,12838.4,3524.7,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
nvidia,9g8b,64,256,4096,1,bf16,1274.32,20.03,NA,12857.04,3195.73,NA,NA,NA,5/6/2026,Œ‚Œ¨,a100
