platform,op_name,dtype,shape_config,ic_latency_ms,ic_tflops,pt_latency_ms,pt_tflops,date,tester,remarks
hygon,causalsoftmax,fp16,"M=3,N=3",0.009787,NA,0.129153,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,bf16,"M=3,N=3",0.009956,NA,0.127809,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp32,"M=3,N=3",0.010025,NA,0.103338,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp16,"M=32,N=512",0.009882,NA,0.129674,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,bf16,"M=32,N=512",0.010166,NA,0.129008,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp32,"M=32,N=512",0.010146,NA,0.102473,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp16,"M=32,N=512",0.010096,NA,0.132463,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,bf16,"M=32,N=512",0.010067,NA,0.132972,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp32,"M=32,N=512",0.0101,NA,0.103579,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp16,"bs=32,seq=5,hidden=5",0.010386,NA,0.130492,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,bf16,"bs=32,seq=5,hidden=5",0.009926,NA,0.130201,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp32,"bs=32,seq=5,hidden=5",0.010338,NA,0.103961,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.018776,NA,0.132994,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.023624,NA,0.133352,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.019198,NA,0.105249,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.018776,NA,0.13603,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.023753,NA,0.137159,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.019198,NA,0.106402,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp16,"bs=28,seq=15,hidden=15",0.012845,NA,0.131947,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,bf16,"bs=28,seq=15,hidden=15",0.015126,NA,0.130327,NA,2026/04/29,zhuyue,
hygon,causalsoftmax,fp32,"bs=28,seq=15,hidden=15",0.012797,NA,0.103811,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=1,N=4, size=4",0.011271,NA,0.111328,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=1,N=4, size=4",0.011458,NA,0.110337,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=1,N=4, size=4",0.011395,NA,0.09899,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=1,N=4, size=4",0.011513,NA,0.110699,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=1,N=4, size=4",0.011443,NA,0.110204,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=1,N=4, size=4",0.011534,NA,0.10041,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=2,N=4, size=4",0.011416,NA,0.111249,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=2,N=4, size=4",0.011415,NA,0.11134,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=2,N=4, size=4",0.011388,NA,0.100242,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=2,N=4, size=4",0.011324,NA,0.114,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=2,N=4, size=4",0.011887,NA,0.114306,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=2,N=4, size=4",0.01266,NA,0.112938,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.012602,NA,0.12759,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.01181,NA,0.135993,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.012592,NA,0.123379,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.012703,NA,0.125937,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.012671,NA,0.136462,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.012664,NA,0.12494,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.011879,NA,0.140525,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.012519,NA,0.129116,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.012685,NA,0.119069,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.012626,NA,0.129367,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.012661,NA,0.128851,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.012606,NA,0.118872,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=16,N=2048, size=2048",0.012373,NA,0.138384,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=16,N=2048, size=2048",0.012464,NA,0.137587,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=16,N=2048, size=2048",0.012375,NA,0.113523,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=16,N=2048, size=2048",0.012405,NA,0.136883,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=16,N=2048, size=2048",0.012391,NA,0.13773,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=16,N=2048, size=2048",0.01237,NA,0.116364,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=16,N=2048, size=2048",0.012403,NA,0.140968,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=16,N=2048, size=2048",0.012451,NA,0.142111,NA,2026/04/29,zhuyue,
hygon,rmsnorm,fp16,"M=16,N=2048, size=2048",0.01246,NA,0.118252,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=16,N=2048, size=2048",0.012348,NA,0.140708,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=16,N=2048, size=2048",0.012305,NA,0.140645,NA,2026/04/29,zhuyue,
hygon,rmsnorm,bf16,"M=16,N=2048, size=2048",0.012406,NA,0.126882,NA,2026/04/29,zhuyue,
hygon,embedding,fp16,"M=1,N=5, M=32000,N=4",0.009938,NA,0.015114,NA,2026/04/29,zhuyue,
hygon,embedding,bf16,"M=1,N=5, M=32000,N=4",0.00965,NA,0.014426,NA,2026/04/29,zhuyue,
hygon,embedding,fp32,"M=1,N=5, M=32000,N=4",0.009753,NA,0.014327,NA,2026/04/29,zhuyue,
hygon,embedding,fp16,"M=2,N=10, M=32000,N=2048",0.138897,NA,0.014345,NA,2026/04/29,zhuyue,
hygon,embedding,bf16,"M=2,N=10, M=32000,N=2048",0.139898,NA,0.014609,NA,2026/04/29,zhuyue,
hygon,embedding,fp32,"M=2,N=10, M=32000,N=2048",0.054246,NA,0.014694,NA,2026/04/29,zhuyue,
hygon,embedding,fp16,"M=1,N=5, M=10,N=10",0.009833,NA,0.014471,NA,2026/04/29,zhuyue,
hygon,embedding,bf16,"M=1,N=5, M=10,N=10",0.009714,NA,0.014641,NA,2026/04/29,zhuyue,
hygon,embedding,fp32,"M=1,N=5, M=10,N=10",0.009692,NA,0.014611,NA,2026/04/29,zhuyue,
hygon,topk,fp16,"M=6,N=8",0.752856,NA,0.015139,NA,2026/04/29,zhuyue,
hygon,topk,bf16,"M=6,N=8",0.754373,NA,0.017277,NA,2026/04/29,zhuyue,
hygon,topk,fp32,"M=6,N=8",0.758689,NA,0.0143,NA,2026/04/29,zhuyue,
hygon,topk,fp16,"M=8,N=4",0.500202,NA,0.023292,NA,2026/04/29,zhuyue,
hygon,topk,bf16,"M=8,N=4",0.498938,NA,0.023969,NA,2026/04/29,zhuyue,
hygon,topk,fp32,"M=8,N=4",0.499198,NA,0.023629,NA,2026/04/29,zhuyue,
hygon,topk,fp16,"M=5,N=5",0.75521,NA,0.022224,NA,2026/04/29,zhuyue,
hygon,topk,bf16,"M=5,N=5",0.832933,NA,0.024798,NA,2026/04/29,zhuyue,
hygon,topk,fp32,"M=5,N=5",0.923767,NA,0.024589,NA,2026/04/29,zhuyue,
hygon,topk,fp16,"M=3,N=7",0.956161,NA,0.035582,NA,2026/04/29,zhuyue,
hygon,topk,bf16,"M=3,N=7",0.969089,NA,0.035545,NA,2026/04/29,zhuyue,
hygon,topk,fp32,"M=3,N=7",0.965043,NA,0.035829,NA,2026/04/29,zhuyue,
hygon,topk,fp16,"M=10,N=3",0.502966,NA,0.014571,NA,2026/04/29,zhuyue,
hygon,topk,bf16,"M=10,N=3",0.503783,NA,0.016071,NA,2026/04/29,zhuyue,
hygon,topk,fp32,"M=10,N=3",0.504451,NA,0.016271,NA,2026/04/29,zhuyue,
hygon,topk,fp16,"M=2,N=16",0.971573,NA,0.038934,NA,2026/04/29,zhuyue,
hygon,topk,bf16,"M=2,N=16",0.966229,NA,0.039889,NA,2026/04/29,zhuyue,
