platform,op_name,dtype,shape_config,ic_latency_ms,ic_tflops,pt_latency_ms,pt_tflops,date,tester,remarks
nvidia,add,fp32,"M=16,N=5632",0.018356,NA,0.013768,NA,2026/04/30,baoming,
nvidia,add,fp16,"M=16,N=5632",0.019648,NA,0.015195,NA,2026/04/30,baoming,
nvidia,add,bf16,"M=16,N=5632",0.021223,NA,0.015999,NA,2026/04/30,baoming,
nvidia,add,fp32,"bs=4,seq=4,hidden=5632",0.022378,NA,0.017322,NA,2026/04/30,baoming,
nvidia,add,fp16,"bs=4,seq=4,hidden=5632",0.023909,NA,0.017336,NA,2026/04/30,baoming,
nvidia,add,bf16,"bs=4,seq=4,hidden=5632",0.023916,NA,0.017336,NA,2026/04/30,baoming,
nvidia,add,fp32,"M=16,N=4096",0.019963,NA,0.017281,NA,2026/04/30,baoming,
nvidia,add,fp16,"M=16,N=4096",0.019959,NA,0.017326,NA,2026/04/30,baoming,
nvidia,add,bf16,"M=16,N=4096",0.019854,NA,0.01733,NA,2026/04/30,baoming,
nvidia,causal_softmax,fp32,"bs=32,seq=512",0.01495,NA,0.058623,NA,2026/04/30,baoming,
nvidia,causal_softmax,fp16,"bs=32,seq=512",0.016247,NA,0.088117,NA,2026/04/30,baoming,
nvidia,causal_softmax,bf16,"bs=32,seq=512",0.017703,NA,0.090513,NA,2026/04/30,baoming,
nvidia,causal_softmax,fp32,"bs=4,heads=20,seq=512",0.022238,NA,0.079136,NA,2026/04/30,baoming,
nvidia,causal_softmax,fp16,"bs=4,heads=20,seq=512",0.022633,NA,0.114115,NA,2026/04/30,baoming,
nvidia,causal_softmax,bf16,"bs=4,heads=20,seq=512",0.022641,NA,0.112362,NA,2026/04/30,baoming,
nvidia,gemm,fp32,"M=1,N=2048,K=2048",0.106689,0.1,0.108511,0.1,2026/04/30,baoming,
nvidia,gemm,fp16,"M=1,N=2048,K=2048",0.034229,0.2,0.050382,0.2,2026/04/30,baoming,
nvidia,gemm,bf16,"M=1,N=2048,K=2048",0.033671,0.2,0.050376,0.2,2026/04/30,baoming,
nvidia,gemm,fp32,"M=6,N=2560,K=2048",0.110243,0.5,0.110435,0.5,2026/04/30,baoming,
nvidia,gemm,fp16,"M=6,N=2560,K=2048",0.03837,1.3,0.037306,1.5,2026/04/30,baoming,
nvidia,gemm,bf16,"M=6,N=2560,K=2048",0.036873,1.5,0.03703,1.5,2026/04/30,baoming,
nvidia,gemm,fp32,"bs=4,M=48,N=6,K=64",0.017378,0.0,0.01734,0.0,2026/04/30,baoming,
nvidia,gemm,fp16,"bs=4,M=48,N=6,K=64",0.020597,0.0,0.020612,0.0,2026/04/30,baoming,
nvidia,gemm,bf16,"bs=4,M=48,N=6,K=64",0.020587,0.0,0.020606,0.0,2026/04/30,baoming,
nvidia,rms_norm,fp32,"bs=2,seq=4,hidden=2048",0.010282,NA,0.058665,NA,2026/04/30,baoming,
nvidia,rms_norm,fp16,"bs=2,seq=4,hidden=2048",0.011049,NA,0.103154,NA,2026/04/30,baoming,
nvidia,rms_norm,bf16,"bs=2,seq=4,hidden=2048",0.0113,NA,0.104387,NA,2026/04/30,baoming,
nvidia,rms_norm,fp32,"bs=16,hidden=5632",0.01386,NA,0.077777,NA,2026/04/30,baoming,
nvidia,rms_norm,fp16,"bs=16,hidden=5632",0.011182,NA,0.120675,NA,2026/04/30,baoming,
nvidia,rms_norm,bf16,"bs=16,hidden=5632",0.011151,NA,0.118685,NA,2026/04/30,baoming,
nvidia,swiglu,fp32,"bs=16,hidden=5632",0.018707,NA,0.05884,NA,2026/04/30,baoming,
nvidia,swiglu,fp16,"bs=16,hidden=5632",0.021242,NA,0.16574,NA,2026/04/30,baoming,
nvidia,swiglu,bf16,"bs=16,hidden=5632",0.024096,NA,0.168865,NA,2026/04/30,baoming,
nvidia,swiglu,fp32,"bs=4,seq=4,hidden=5632",0.022965,NA,0.070715,NA,2026/04/30,baoming,
nvidia,swiglu,fp16,"bs=4,seq=4,hidden=5632",0.025448,NA,0.168191,NA,2026/04/30,baoming,
nvidia,swiglu,bf16,"bs=4,seq=4,hidden=5632",0.024097,NA,0.167276,NA,2026/04/30,baoming,
