platform,op_name,dtype,shape_config,ic_latency_ms,ic_tflops,pt_latency_ms,pt_tflops,date,tester,remarks
metax,causalsoftmax,fp16,"M=3,N=3",0.013635,NA,0.110871,NA,2026/04/29,zhuyue,
metax,causalsoftmax,bf16,"M=3,N=3",0.01155,NA,0.111493,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp32,"M=3,N=3",0.016652,NA,0.087707,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp16,"M=32,N=512",0.05365,NA,0.085022,NA,2026/04/29,zhuyue,
metax,causalsoftmax,bf16,"M=32,N=512",0.039246,NA,0.148124,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp32,"M=32,N=512",0.053587,NA,0.164711,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp16,"M=32,N=512",0.022535,NA,0.160622,NA,2026/04/29,zhuyue,
metax,causalsoftmax,bf16,"M=32,N=512",0.028964,NA,0.10713,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp32,"M=32,N=512",0.02251,NA,0.096489,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp16,"bs=32,seq=5,hidden=5",0.035145,NA,0.13513,NA,2026/04/29,zhuyue,
metax,causalsoftmax,bf16,"bs=32,seq=5,hidden=5",0.032604,NA,0.121022,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp32,"bs=32,seq=5,hidden=5",0.040895,NA,0.080091,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.116487,NA,0.204376,NA,2026/04/29,zhuyue,
metax,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.05753,NA,0.211073,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.0867,NA,0.137035,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.077953,NA,0.251325,NA,2026/04/29,zhuyue,
metax,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.094521,NA,0.214623,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.090993,NA,0.230679,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp16,"bs=28,seq=15,hidden=15",0.043283,NA,0.130034,NA,2026/04/29,zhuyue,
metax,causalsoftmax,bf16,"bs=28,seq=15,hidden=15",0.079785,NA,0.126761,NA,2026/04/29,zhuyue,
metax,causalsoftmax,fp32,"bs=28,seq=15,hidden=15",0.032143,NA,0.121325,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=1,N=4, size=4",0.016996,NA,0.113902,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=1,N=4, size=4",0.028262,NA,0.098644,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=1,N=4, size=4",0.02594,NA,0.087757,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=1,N=4, size=4",0.01925,NA,0.089169,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=1,N=4, size=4",0.024112,NA,0.106743,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=1,N=4, size=4",0.015421,NA,0.113128,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=2,N=4, size=4",0.010957,NA,0.133982,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=2,N=4, size=4",0.011461,NA,0.11209,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=2,N=4, size=4",0.014231,NA,0.1104,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=2,N=4, size=4",0.012487,NA,0.092292,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=2,N=4, size=4",0.025135,NA,0.101656,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=2,N=4, size=4",0.014933,NA,0.077524,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.030123,NA,0.105386,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.027753,NA,0.125731,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.011717,NA,0.075296,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.029602,NA,0.085077,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.025103,NA,0.103111,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.012006,NA,0.081179,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.028189,NA,0.088881,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.021345,NA,0.115345,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.022438,NA,0.076853,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.027529,NA,0.086333,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.029357,NA,0.116251,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.03911,NA,0.09701,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=16,N=2048, size=2048",0.011731,NA,0.166145,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=16,N=2048, size=2048",0.055241,NA,0.250735,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=16,N=2048, size=2048",0.052253,NA,0.129109,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=16,N=2048, size=2048",0.025846,NA,0.195656,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=16,N=2048, size=2048",0.011057,NA,0.150595,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=16,N=2048, size=2048",0.01677,NA,0.146829,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=16,N=2048, size=2048",0.036359,NA,0.170067,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=16,N=2048, size=2048",0.01528,NA,0.174609,NA,2026/04/29,zhuyue,
metax,rmsnorm,fp16,"M=16,N=2048, size=2048",0.038336,NA,0.133928,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=16,N=2048, size=2048",0.032136,NA,0.13557,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=16,N=2048, size=2048",0.028555,NA,0.131683,NA,2026/04/29,zhuyue,
metax,rmsnorm,bf16,"M=16,N=2048, size=2048",0.036448,NA,0.132855,NA,2026/04/29,zhuyue,
metax,embedding,fp16,"M=1,N=5, M=32000,N=4",0.023533,NA,0.029413,NA,2026/04/29,zhuyue,
metax,embedding,bf16,"M=1,N=5, M=32000,N=4",0.010668,NA,0.024552,NA,2026/04/29,zhuyue,
metax,embedding,fp32,"M=1,N=5, M=32000,N=4",0.020556,NA,0.018767,NA,2026/04/29,zhuyue,
metax,embedding,fp16,"M=2,N=10, M=32000,N=2048",0.104279,NA,0.035665,NA,2026/04/29,zhuyue,
metax,embedding,bf16,"M=2,N=10, M=32000,N=2048",0.101971,NA,0.026004,NA,2026/04/29,zhuyue,
metax,embedding,fp32,"M=2,N=10, M=32000,N=2048",0.122889,NA,0.029138,NA,2026/04/29,zhuyue,
metax,embedding,fp16,"M=1,N=5, M=10,N=10",0.008241,NA,0.024338,NA,2026/04/29,zhuyue,
metax,embedding,bf16,"M=1,N=5, M=10,N=10",0.030502,NA,0.012038,NA,2026/04/29,zhuyue,
metax,embedding,fp32,"M=1,N=5, M=10,N=10",0.021877,NA,0.028943,NA,2026/04/29,zhuyue,
metax,topk,fp16,"M=6,N=8",2.861134,NA,0.026136,NA,2026/04/29,zhuyue,
metax,topk,bf16,"M=6,N=8",2.628399,NA,0.041775,NA,2026/04/29,zhuyue,
metax,topk,fp32,"M=6,N=8",2.843801,NA,0.026716,NA,2026/04/29,zhuyue,
metax,topk,fp16,"M=8,N=4",1.912624,NA,0.086622,NA,2026/04/29,zhuyue,
metax,topk,bf16,"M=8,N=4",1.800785,NA,0.063622,NA,2026/04/29,zhuyue,
metax,topk,fp32,"M=8,N=4",1.577265,NA,0.043003,NA,2026/04/29,zhuyue,
metax,topk,fp16,"M=5,N=5",2.623598,NA,0.075198,NA,2026/04/29,zhuyue,
metax,topk,bf16,"M=5,N=5",2.534146,NA,0.075602,NA,2026/04/29,zhuyue,
metax,topk,fp32,"M=5,N=5",2.792694,NA,0.077191,NA,2026/04/29,zhuyue,
metax,topk,fp16,"M=3,N=7",2.869623,NA,0.065922,NA,2026/04/29,zhuyue,
metax,topk,bf16,"M=3,N=7",2.61598,NA,0.078159,NA,2026/04/29,zhuyue,
metax,topk,fp32,"M=3,N=7",2.61206,NA,0.06452,NA,2026/04/29,zhuyue,
