platform,op_name,dtype,shape_config,ic_latency_ms,ic_tflops,pt_latency_ms,pt_tflops,date,tester,remarks
nvidia,causalsoftmax,fp16,"M=3,N=3",0.006581,NA,0.065546,NA,2026/04/29,baoming,
nvidia,causalsoftmax,bf16,"M=3,N=3",0.006427,NA,0.065766,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp32,"M=3,N=3",0.00642,NA,0.052705,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp16,"M=32,N=512",0.006341,NA,0.066423,NA,2026/04/29,baoming,
nvidia,causalsoftmax,bf16,"M=32,N=512",0.006445,NA,0.065648,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp32,"M=32,N=512",0.006353,NA,0.053571,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp16,"M=32,N=512",0.006411,NA,0.066575,NA,2026/04/29,baoming,
nvidia,causalsoftmax,bf16,"M=32,N=512",0.006438,NA,0.066439,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp32,"M=32,N=512",0.006366,NA,0.05236,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp16,"bs=32,seq=5,hidden=5",0.006439,NA,0.066963,NA,2026/04/29,baoming,
nvidia,causalsoftmax,bf16,"bs=32,seq=5,hidden=5",0.006422,NA,0.068901,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp32,"bs=32,seq=5,hidden=5",0.006403,NA,0.051177,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.013257,NA,0.067941,NA,2026/04/29,baoming,
nvidia,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.014781,NA,0.065739,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.012442,NA,0.051679,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.013264,NA,0.06753,NA,2026/04/29,baoming,
nvidia,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.014781,NA,0.069248,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.01244,NA,0.053494,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp16,"bs=28,seq=15,hidden=15",0.008815,NA,0.066391,NA,2026/04/29,baoming,
nvidia,causalsoftmax,bf16,"bs=28,seq=15,hidden=15",0.009098,NA,0.065727,NA,2026/04/29,baoming,
nvidia,causalsoftmax,fp32,"bs=28,seq=15,hidden=15",0.008009,NA,0.052025,NA,2026/04/29,baoming,
