platform,model,batch_size,input_tokens,output_tokens,n_gpu,dtype,il_ttft_ms,il_decode_ms,il_throughput_tps,Prefill吞吐量（tokens/s）,Decode吞吐量（tokens/s）,vl_ttft_ms,vl_decode_ms,vl_throughput_tps,date,tester,remarks
metax,9g8b,1,32,256,1,bf16,22.18,15.01,NA,1442,66.64,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,32,1024,1,bf16,22.39,14.92,NA,1429,67.01,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,32,4096,1,bf16,25.55,14.95,NA,1252,66.88,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,256,256,1,bf16,37.19,14.88,NA,6883,67.2,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,256,1024,1,bf16,37.57,14.92,NA,6813,67.03,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,256,4096,1,bf16,39.57,14.95,NA,6469,66.91,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,4096,256,1,bf16,399.13,15.1,NA,10262,66.22,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,4096,1024,1,bf16,399.22,14.99,NA,10260,66.7,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,1,4096,4096,1,bf16,401.99,14.98,NA,10189,66.77,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,32,256,1,bf16,42.95,17.02,NA,2980,235,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,32,1024,1,bf16,43.28,17.04,NA,2957,234,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,32,4096,1,bf16,45.59,17.6,NA,2807,227,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,256,256,1,bf16,116.11,16.98,NA,8818,235,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,256,1024,1,bf16,116.3,17.05,NA,8804,234,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,256,4096,1,bf16,119.23,17.61,NA,8588,227,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,4096,256,1,bf16,1721.8,18.35,NA,9515,217,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,4096,1024,1,bf16,1723.09,18.09,NA,9508,221,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,4,4096,4096,1,bf16,1727.52,18.2,NA,9484,219,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,16,32,256,1,bf16,137.62,18.11,NA,3720,883,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,16,32,1024,1,bf16,138.04,18.31,NA,3709,873,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,16,32,4096,1,bf16,139.96,18.78,NA,3658,852,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,16,256,256,1,bf16,438.05,18.24,NA,9350,876,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,16,256,1024,1,bf16,438.47,18.41,NA,9341,869,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,16,256,4096,1,bf16,440.65,18.82,NA,9295,850,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,64,32,256,1,bf16,504.57,21.62,NA,4058,2959,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,64,32,1024,1,bf16,504.84,22.33,NA,4063,2856,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,64,32,4096,1,bf16,504.39,24.62,NA,4043,2595,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,64,256,256,1,bf16,1874.57,21.71,NA,8740,2948,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,64,256,1024,1,bf16,1881.1,22.65,NA,8709,2825,NA,NA,NA,4/28/2026,曾华,c550
metax,9g8b,64,256,4096,1,bf16,1881.93,25.13,NA,8705,2546,NA,NA,NA,4/28/2026,曾华,c550
