platform,op_name,dtype,shape_config,ic_latency_ms,ic_tflops,pt_latency_ms,pt_tflops,date,tester,remarks
moore,causalsoftmax,fp16,"M=3,N=3",0.017228,NA,0.219861,NA,2026/04/29,zhuyue,
moore,causalsoftmax,bf16,"M=3,N=3",0.015092,NA,0.209454,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp32,"M=3,N=3",0.01519,NA,0.167179,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp16,"M=32,N=512",0.015205,NA,0.22162,NA,2026/04/29,zhuyue,
moore,causalsoftmax,bf16,"M=32,N=512",0.015456,NA,0.217761,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp32,"M=32,N=512",0.015671,NA,0.163798,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp16,"M=32,N=512",0.015377,NA,0.238748,NA,2026/04/29,zhuyue,
moore,causalsoftmax,bf16,"M=32,N=512",0.015393,NA,0.239843,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp32,"M=32,N=512",0.01507,NA,0.167277,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp16,"bs=32,seq=5,hidden=5",0.015997,NA,0.215992,NA,2026/04/29,zhuyue,
moore,causalsoftmax,bf16,"bs=32,seq=5,hidden=5",0.015931,NA,0.216364,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp32,"bs=32,seq=5,hidden=5",0.016869,NA,0.171688,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.048507,NA,0.213543,NA,2026/04/29,zhuyue,
moore,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.049158,NA,0.208482,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.050372,NA,0.131486,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.048696,NA,0.193585,NA,2026/04/29,zhuyue,
moore,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.048907,NA,0.20369,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.050393,NA,0.134409,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp16,"bs=28,seq=15,hidden=15",0.033525,NA,0.169996,NA,2026/04/29,zhuyue,
moore,causalsoftmax,bf16,"bs=28,seq=15,hidden=15",0.033693,NA,0.170425,NA,2026/04/29,zhuyue,
moore,causalsoftmax,fp32,"bs=28,seq=15,hidden=15",0.032915,NA,0.143978,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=1,N=4, size=4",0.017637,NA,0.225277,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=1,N=4, size=4",0.018175,NA,0.228036,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=1,N=4, size=4",0.018076,NA,0.205846,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=1,N=4, size=4",0.017378,NA,0.224018,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=1,N=4, size=4",0.018035,NA,0.223188,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=1,N=4, size=4",0.017973,NA,0.200604,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=2,N=4, size=4",0.018034,NA,0.208318,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=2,N=4, size=4",0.018115,NA,0.209767,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=2,N=4, size=4",0.019044,NA,0.189358,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=2,N=4, size=4",0.017793,NA,0.203682,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=2,N=4, size=4",0.018069,NA,0.198326,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=2,N=4, size=4",0.019678,NA,0.190303,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.018337,NA,0.210373,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.018044,NA,0.204073,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.017943,NA,0.182264,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.017962,NA,0.210684,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.018107,NA,0.199334,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.01737,NA,0.190342,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.018119,NA,0.236141,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.017992,NA,0.235205,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"bs=2,seq=2,hidden=4, size=4",0.017929,NA,0.216622,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.01812,NA,0.235991,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.017636,NA,0.234407,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"bs=2,seq=2,hidden=4, size=4",0.018076,NA,0.216596,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=16,N=2048, size=2048",0.017379,NA,0.213134,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=16,N=2048, size=2048",0.017111,NA,0.213004,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=16,N=2048, size=2048",0.017285,NA,0.192931,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=16,N=2048, size=2048",0.017654,NA,0.213408,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=16,N=2048, size=2048",0.017781,NA,0.212899,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=16,N=2048, size=2048",0.017918,NA,0.192917,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=16,N=2048, size=2048",0.015368,NA,0.239487,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=16,N=2048, size=2048",0.015486,NA,0.239988,NA,2026/04/29,zhuyue,
moore,rmsnorm,fp16,"M=16,N=2048, size=2048",0.015685,NA,0.220399,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=16,N=2048, size=2048",0.015607,NA,0.241268,NA,2026/04/29,zhuyue,
moore,rmsnorm,bf16,"M=16,N=2048, size=2048",0.015536,NA,0.239942,NA,2026/04/29,zhuyue,
