platform,op_name,dtype,shape_config,ic_latency_ms,ic_tflops,pt_latency_ms,pt_tflops,date,tester,remarks
cambricon,causalsoftmax,fp16,"M=3,N=3",0.094429,NA,1.045267,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,bf16,"M=3,N=3",0.102903,NA,0.978345,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp32,"M=3,N=3",0.099518,NA,0.790179,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp16,"M=32,N=512",0.108272,NA,0.982462,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,bf16,"M=32,N=512",0.10851,NA,0.98072,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp32,"M=32,N=512",0.105074,NA,0.790314,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp16,"M=32,N=512",0.109852,NA,1.075256,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,bf16,"M=32,N=512",0.105422,NA,1.072285,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp32,"M=32,N=512",0.101235,NA,0.876319,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp16,"bs=32,seq=5,hidden=5",0.153843,NA,0.980796,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,bf16,"bs=32,seq=5,hidden=5",0.158734,NA,0.979013,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp32,"bs=32,seq=5,hidden=5",0.134516,NA,0.786985,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.265022,NA,0.98348,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.263519,NA,0.980056,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.224654,NA,0.786791,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp16,"bs=32,seq=20,hidden=512",0.279279,NA,1.087633,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,bf16,"bs=32,seq=20,hidden=512",0.277733,NA,1.09094,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp32,"bs=32,seq=20,hidden=512",0.231732,NA,0.883058,NA,2026/05/06,zhuyue,
cambricon,causalsoftmax,fp16,"bs=28,seq=15,hidden=15",0.236904,NA,0.993053,NA,2026/05/06,zhuyue,
