index,data_set,exec_time,spread,eff_bw
0,1 kB,50ms,4.9%,7508.2
1,2 kB,45ms,4.3%,8360.5
2,4 kB,45ms,3.5%,8341.9
4,4 kB,45ms,3.0%,8317.7
3,6 kB,45ms,5.6%,8329.1
5,8 kB,45ms,4.5%,8293.7
6,12 kB,45ms,3.5%,8366.9
7,16 kB,45ms,5.4%,8351.6
8,20 kB,45ms,2.5%,8322.8
9,24 kB,45ms,3.8%,8417.9
10,28 kB,45ms,5.5%,8375.2
11,32 kB,45ms,3.6%,8278.5
12,36 kB,45ms,4.0%,8373.8
13,40 kB,45ms,3.5%,8331.7
14,44 kB,45ms,2.1%,8302.7
15,48 kB,45ms,4.7%,8405.7
16,52 kB,45ms,2.3%,8330.6
17,56 kB,45ms,2.0%,8331.1
18,60 kB,44ms,3.1%,8332.9
19,64 kB,44ms,2.7%,8332.7
