index,data_set,exec_data,exec_time,spread,eff_bw
0,512 kB,1536 kB,62ms,2.6%,1703.4
1,512 kB,2048 kB,61ms,1.9%,1735.4
2,512 kB,2560 kB,61ms,1.9%,1735.9
3,512 kB,3072 kB,61ms,1.7%,1735.9
4,512 kB,3584 kB,62ms,2.1%,1719.2
5,512 kB,4096 kB,61ms,3.3%,1723.1
6,512 kB,4608 kB,60ms,2.5%,1754.6
7,512 kB,5120 kB,61ms,2.1%,1739.8
8,512 kB,5632 kB,61ms,1.6%,1737.1
9,512 kB,6144 kB,61ms,3.3%,1733.0
10,512 kB,6656 kB,61ms,2.0%,1726.3
11,512 kB,7168 kB,62ms,2.8%,1714.4
12,512 kB,7680 kB,61ms,2.0%,1745.0
13,512 kB,8192 kB,61ms,2.0%,1721.9
14,512 kB,8704 kB,61ms,1.2%,1737.7
15,512 kB,9216 kB,61ms,1.6%,1720.5
16,512 kB,9728 kB,61ms,2.6%,1746.2
17,512 kB,10240 kB,61ms,4.9%,1741.5
18,512 kB,11264 kB,61ms,6.5%,1736.3
19,512 kB,12288 kB,61ms,2.2%,1732.2
20,512 kB,13312 kB,61ms,2.0%,1725.0
21,512 kB,14336 kB,62ms,2.4%,1713.6
22,512 kB,15360 kB,62ms,2.1%,1719.6
23,512 kB,16896 kB,61ms,2.0%,1737.2
24,512 kB,18432 kB,61ms,1.8%,1722.4
25,512 kB,19968 kB,61ms,2.3%,1725.8
26,512 kB,21504 kB,61ms,1.7%,1723.6
27,512 kB,23552 kB,61ms,2.1%,1724.6
28,512 kB,25600 kB,61ms,3.7%,1731.7
29,512 kB,28160 kB,61ms,1.2%,1732.5
30,512 kB,30720 kB,62ms,2.6%,1726.0
31,512 kB,33792 kB,62ms,1.4%,1710.2
32,512 kB,36864 kB,62ms,2.1%,1717.1
33,512 kB,40448 kB,172ms,1.8%,616.3
34,512 kB,44032 kB,213ms,1.2%,494.3
35,512 kB,48128 kB,223ms,1.8%,474.3
36,512 kB,52736 kB,223ms,1.9%,472.8
37,512 kB,57856 kB,223ms,2.0%,471.8
38,512 kB,63488 kB,223ms,1.2%,471.3
39,512 kB,69632 kB,224ms,2.2%,472.4
40,512 kB,76288 kB,222ms,1.5%,474.3
41,512 kB,83456 kB,222ms,0.6%,473.2
42,512 kB,91648 kB,222ms,0.6%,473.1
43,512 kB,100352 kB,222ms,1.5%,474.4
44,512 kB,110080 kB,222ms,0.9%,474.8
45,512 kB,120832 kB,222ms,0.7%,474.0
46,512 kB,132608 kB,223ms,0.8%,471.2
47,512 kB,145408 kB,224ms,1.6%,472.2
48,512 kB,159744 kB,223ms,0.7%,471.4
49,512 kB,175616 kB,223ms,1.9%,471.6
50,512 kB,193024 kB,223ms,1.1%,471.7
51,512 kB,211968 kB,224ms,1.6%,472.0
52,512 kB,232960 kB,224ms,1.1%,471.9
53,512 kB,256000 kB,223ms,1.2%,472.6
54,512 kB,281600 kB,223ms,1.1%,472.6
55,512 kB,309760 kB,224ms,1.2%,470.9
56,512 kB,340480 kB,224ms,1.1%,472.1
57,512 kB,374272 kB,223ms,0.9%,471.5
58,512 kB,411648 kB,223ms,1.4%,472.0
59,512 kB,452608 kB,224ms,2.2%,471.6
60,512 kB,497664 kB,224ms,1.3%,471.1
61,512 kB,547328 kB,224ms,0.6%,470.5
62,512 kB,601600 kB,228ms,4.0%,468.8
63,512 kB,661504 kB,225ms,1.6%,471.2
64,512 kB,727552 kB,225ms,2.5%,470.1
65,512 kB,800256 kB,225ms,1.4%,469.9
66,512 kB,880128 kB,225ms,1.4%,469.6
67,512 kB,967680 kB,223ms,1.9%,472.5
68,512 kB,1064448 kB,224ms,4.4%,471.4
69,512 kB,1170432 kB,224ms,1.4%,470.9
70,512 kB,1287168 kB,224ms,1.5%,471.0
71,512 kB,1415680 kB,225ms,2.2%,470.7
72,512 kB,1556992 kB,230ms,4.3%,469.3
73,512 kB,1712640 kB,233ms,2.2%,456.5
74,512 kB,1883648 kB,232ms,3.4%,460.8
75,512 kB,2071552 kB,232ms,2.5%,456.1
76,512 kB,2278400 kB,232ms,1.0%,453.8
77,512 kB,2506240 kB,232ms,2.3%,460.0
78,512 kB,2756608 kB,232ms,2.0%,455.6
79,512 kB,3032064 kB,233ms,8.8%,456.0
80,512 kB,3335168 kB,233ms,7.1%,463.9
81,512 kB,3668480 kB,232ms,5.7%,463.9
82,512 kB,4035072 kB,227ms,5.6%,471.9
83,512 kB,4438528 kB,226ms,4.5%,472.0
84,512 kB,4881920 kB,251ms,35.1%,459.4
