index,data_set,exec_data,exec_time,spread,eff_bw
0,512 kB,1536 kB,62ms,2.2%,1704.6
1,512 kB,2048 kB,62ms,3.1%,1718.0
2,512 kB,2560 kB,62ms,2.0%,1711.4
3,512 kB,3072 kB,62ms,2.4%,1718.7
4,512 kB,3584 kB,62ms,15.9%,1714.9
5,512 kB,4096 kB,63ms,1.7%,1679.9
6,512 kB,4608 kB,61ms,3.1%,1739.0
7,512 kB,5120 kB,61ms,2.1%,1736.7
8,512 kB,5632 kB,61ms,1.7%,1721.2
9,512 kB,6144 kB,61ms,1.9%,1729.0
10,512 kB,6656 kB,61ms,2.4%,1736.1
11,512 kB,7168 kB,63ms,2.7%,1687.5
12,512 kB,7680 kB,61ms,2.9%,1730.4
13,512 kB,8192 kB,64ms,7.5%,1724.5
14,512 kB,8704 kB,64ms,6.0%,1685.1
15,512 kB,9216 kB,63ms,4.5%,1711.3
16,512 kB,9728 kB,62ms,5.8%,1721.8
17,512 kB,10240 kB,62ms,4.5%,1722.5
18,512 kB,11264 kB,62ms,2.7%,1714.6
19,512 kB,12288 kB,62ms,4.0%,1718.7
20,512 kB,13312 kB,62ms,3.1%,1716.5
21,512 kB,14336 kB,63ms,3.4%,1699.3
22,512 kB,15360 kB,62ms,3.4%,1711.4
23,512 kB,16896 kB,62ms,3.6%,1726.4
24,512 kB,18432 kB,62ms,2.3%,1717.4
25,512 kB,19968 kB,62ms,4.0%,1723.5
26,512 kB,21504 kB,62ms,1.9%,1719.2
27,512 kB,23552 kB,62ms,1.5%,1706.2
28,512 kB,25600 kB,62ms,2.2%,1718.1
29,512 kB,28160 kB,62ms,2.7%,1717.7
30,512 kB,30720 kB,62ms,1.6%,1709.4
31,512 kB,33792 kB,62ms,2.9%,1704.6
32,512 kB,36864 kB,64ms,5.2%,1685.7
33,512 kB,40448 kB,172ms,2.6%,614.9
34,512 kB,44032 kB,209ms,3.9%,505.8
35,512 kB,48128 kB,224ms,3.4%,471.7
36,512 kB,52736 kB,232ms,6.2%,465.1
37,512 kB,57856 kB,226ms,2.0%,468.7
38,512 kB,63488 kB,226ms,2.9%,470.1
39,512 kB,69632 kB,224ms,3.2%,471.5
40,512 kB,76288 kB,224ms,0.9%,470.3
41,512 kB,83456 kB,225ms,1.3%,468.9
42,512 kB,91648 kB,226ms,2.7%,467.1
43,512 kB,100352 kB,226ms,4.0%,474.3
44,512 kB,110080 kB,226ms,4.2%,468.4
45,512 kB,120832 kB,224ms,1.1%,469.6
46,512 kB,132608 kB,225ms,6.1%,475.7
47,512 kB,145408 kB,224ms,1.0%,470.8
48,512 kB,159744 kB,228ms,6.6%,470.3
49,512 kB,175616 kB,224ms,1.6%,469.7
50,512 kB,193024 kB,225ms,1.5%,470.4
51,512 kB,211968 kB,224ms,1.0%,469.2
52,512 kB,232960 kB,225ms,1.4%,469.5
53,512 kB,256000 kB,225ms,1.4%,469.1
54,512 kB,281600 kB,224ms,1.8%,471.2
55,512 kB,309760 kB,224ms,2.7%,469.9
56,512 kB,340480 kB,224ms,0.7%,469.2
57,512 kB,374272 kB,225ms,1.6%,469.0
58,512 kB,411648 kB,225ms,1.9%,469.4
59,512 kB,452608 kB,224ms,1.6%,469.5
60,512 kB,497664 kB,224ms,0.8%,469.7
61,512 kB,547328 kB,225ms,2.2%,470.3
62,512 kB,601600 kB,224ms,1.3%,471.2
63,512 kB,661504 kB,224ms,1.6%,470.6
64,512 kB,727552 kB,224ms,0.7%,470.4
65,512 kB,800256 kB,224ms,2.3%,469.3
66,512 kB,880128 kB,224ms,1.7%,471.7
67,512 kB,967680 kB,225ms,1.7%,469.3
68,512 kB,1064448 kB,225ms,1.5%,469.4
69,512 kB,1170432 kB,224ms,1.2%,472.1
70,512 kB,1287168 kB,224ms,1.8%,468.9
71,512 kB,1415680 kB,225ms,1.4%,468.5
72,512 kB,1556992 kB,224ms,1.0%,470.1
73,512 kB,1712640 kB,225ms,0.7%,468.6
74,512 kB,1883648 kB,224ms,1.4%,469.8
75,512 kB,2071552 kB,224ms,0.9%,469.9
76,512 kB,2278400 kB,224ms,1.0%,468.7
77,512 kB,2506240 kB,225ms,1.2%,469.6
78,512 kB,2756608 kB,224ms,1.1%,469.5
79,512 kB,3032064 kB,225ms,1.0%,468.7
80,512 kB,3335168 kB,225ms,4.9%,469.7
81,512 kB,3668480 kB,224ms,0.7%,468.9
82,512 kB,4035072 kB,225ms,1.9%,468.1
83,512 kB,4438528 kB,224ms,0.7%,469.6
84,512 kB,4881920 kB,224ms,0.8%,468.8
